언어명,관광지명,구분,위도 (Latitude),경도 (Longitude)
일본어,景福宮（경복궁）,역사관광지,37.5798,126.9768
일본어,青瓦台（청와대）,건축/조형물,37.5869,126.9748
일본어,北村韓屋村（북촌한옥마을）,역사관광지,37.5831,126.9837
일본어,南大門市場（남대문시장）,쇼핑,37.5592,126.9776
일본어,広蔵市場（광장시장）,쇼핑,37.5701,126.9996
일본어,盤浦大橋ムーンライト・レインボー噴水（반포대교 달빛무지개분수）,건축/조형물,37.515,126.9947
일본어,仁寺洞（인사동）,산업관광지,37.5728,126.9845
일본어,東大門デザインプラザ（DDP）（동대문디자인플라자（DDP））,산업관광지,37.5669,127.0094
일본어,明洞（명동）,산업관광지,37.5609,126.9861
일본어,Leeum美術館（리움 미술관）,문화시설,37.5381,126.9996
일본어,南山ソウルタワー（남산서울타워）,건축/조형물,37.5511,126.9882
일본어,汝矣島漢江公園（여의도한강공원）,휴양관광지,37.5277,126.9351
일본어,昌徳宮と後苑 [ユネスコ世界遺産（文化遺産）]（창덕궁과 후원 [유네스코 세계문화유산]）,역사관광지,37.5794,126.9919
일본어,弘大（홍대）,산업관광지,37.5553,126.9238
일본어,ソウル総合運動場（蚕室総合運動場）（서울종합운동장（잠실종합운동장））,육상 레포츠,37.515,127.0731
일본어,梨泰院観光特区（이태원 관광특구）,휴양관광지,37.5345,126.9945
일본어,HiKR GROUND（하이커 그라운드）,문화시설,37.568,126.9845
일본어,ピョルマダン図書館（별마당도서관）,문화시설,37.5099,127.059
일본어,徳寿宮（덕수궁）,역사관광지,37.5663,126.9751
일본어,光化門（광화문）,역사관광지,37.576,126.9768
일본어,新沙洞カロスキル（신사동 가로수길）,체험관광지,37.521,127.0227
일본어,梨泰院ショッピング通り（이태원 쇼핑거리）,체험관광지,37.5345,126.9945
일본어,ロッテワールドタワー ソウルスカイ（롯데월드타워 서울스카이）,건축/조형물,37.5125,127.1026
일본어,ロッテワールド（롯데월드）,휴양관광지,37.5111,127.0982
일본어,宗廟 [ユネスコ世界遺産（文化遺産）]（종묘 [유네스코 세계문화유산]）,역사관광지,37.5747,126.9938
일본어,セビッソム（세빛섬（some sevit））,자연관광지,37.5126,126.9953
일본어,ロッテ百貨店（本店）롯데백화점（본점）,쇼핑,37.5653,126.9811
일본어,仁寺洞（인사동）,체험관광지,37.5728,126.9845
일본어,ロッテアウトレット ソウル駅店[韓国観光品質認証](롯데쇼핑 롯데아울렛 서울역[한국관광품질인증/Korea Quality]),쇼핑,37.555,126.9702
일본어,ノドゥル島（노들섬）,휴양관광지,37.5173,126.9614
일본어,イーランドクルーズ（漢江遊覧船）（이랜드크루즈（한강유람선））,휴양관광지,37.5249,126.941
일본어,清渓川（청계천）,휴양관광지,37.5692,126.9789
일본어,盤浦漢江公園（반포한강공원）,휴양관광지,37.5108,126.9959
일본어,狎鴎亭ロデオ通り（압구정 로데오 거리）,체험관광지,37.5273,127.0403
일본어,世宗大王銅像（세종대왕 동상）,건축/조형물,37.5727,126.9769
일본어,セビッソム（세빛섬（some sevit））,휴양관광지,37.5126,126.9953
일본어,コリアハウス（한국의집）,문화시설,37.561,126.9936
일본어,ブルースクエア（블루스퀘어）,문화시설,37.5367,127.0003
일본어,東大門総合市場・ショッピングタウン（동대문 종합시장·동대문 쇼핑타운）,쇼핑,37.5707,127.0094
일본어,国立現代美術館 ソウル（국립현대미술관 서울）,문화시설,37.5791,126.9806
일본어,東大門歴史文化公園（동대문역사문화공원）,휴양관광지,37.5658,127.0093
일본어,南山コル韓屋村（남산골한옥마을）,역사관광지,37.5592,126.9938
일본어,国立中央博物館（국립중앙박물관）,문화시설,37.524,126.9799
일본어,昌慶宮（창경궁）,역사관광지,37.5789,126.9953
일본어,キッザニアソウル（키자니아 서울）,산업관광지,37.5103,127.0967
일본어,忠武アートセンター（충무아트센터）,문화시설,37.5647,127.0153
일본어,ソウルの森（서울숲）,자연관광지,37.5436,127.0447
일본어,崇礼門（숭례문）,역사관광지,37.5601,126.9753
일본어,明洞餃子（명동교자）,음식점,37.5634,126.9844
일본어,西大門刑務所歴史館（서대문형무소역사관）,문화시설,37.5746,126.956
일본어,独立門（독립문）,역사관광지,37.5723,126.9585
일본어,GOTO MALL（江南高速ターミナル地下ショッピングモール）（고투몰（강남터미널 지하도상가））,쇼핑,37.5053,127.005
일본어,益善洞（익선동）,체험관광지,37.5745,126.9901
일본어,ロッテモール金浦空港（롯데몰 김포공항）,쇼핑,37.5659,126.8016
일본어,ソウル東大門タッカンマリ通り（서울 동대문 닭한마리 골목）,체험관광지,37.5714,127.0118
일본어,ロッテワールドタワー＆ロッテワールドモール（롯데월드타워&롯데월드몰）,건축/조형물,37.5125,127.1026
일본어,スターフィールドcoex MALL（스타필드 코엑스몰）,쇼핑,37.5126,127.0589
일본어,北村八景（북촌 8경）,역사관광지,37.5828,126.9837
일본어,駱山公園（낙산공원）,휴양관광지,37.5807,127.0073
일본어,峨嵯山（아차산）,자연관광지,37.5583,127.1018
일본어,オリンピック公園（올림픽공원）,휴양관광지,37.5207,127.1227
일본어,ソウル路7017（서울로 7017）,휴양관광지,37.5562,126.9705
일본어,ソウル市立美術館（西小門本館）（서울시립미술관（서소문본관））,문화시설,37.5656,126.9734
일본어,パラダイスカジノ ウォーカーヒル（파라다이스 카지노 워커힐）,육상 레포츠,37.555,127.1121
일본어,曹渓寺（ソウル）（조계사（서울））,역사관광지,37.5739,126.9836
일본어,通仁市場（통인시장）,쇼핑,37.581,126.9701
일본어,芸術の殿堂（예술의전당）,문화시설,37.4787,127.0118
일본어,光化門広場（광화문광장）,휴양관광지,37.573,126.9766
일본어,世宗文化会館（세종문화회관）,문화시설,37.5726,126.9752
일본어,国立ソウル顕忠院（국립서울현충원）,역사관광지,37.5023,126.9769
일본어,国会議事堂（국회의사당）,건축/조형물,37.5318,126.9137
일본어,弘大（홍대）,체험관광지,37.5553,126.9238
일본어,徳寿宮トルダムキル（덕수궁 돌담길）,체험관광지,37.5651,126.9744
일본어,Coexアーティウム（코엑스아티움）,문화시설,37.5126,127.0588
일본어,サムギョプサル專門店 大統領（삼겹살전문점대통령）,음식점,37.5492,126.9189
일본어,ミリオレ（東大門店）（밀리오레（동대문점））,쇼핑,37.5695,127.008
일본어,ソウル 明洞聖堂（서울 명동성당）,역사관광지,37.5635,126.9871
일본어,京義線 森の道（ヨントラルパーク）（경의선숲길（연트럴파크））,육상 레포츠,37.5605,126.9272
일본어,ロッテ免税店（本店）（롯데면세점（본점））,쇼핑,37.5653,126.9811
일본어,麻浦大橋夜景（마포대교 야경）,건축/조형물,37.5332,126.936
일본어,世運電子商店街（世運電子プラザ）（세운전자상가（세운전자플라자））,쇼핑,37.5693,126.9953
일본어,アグランコッケラン（아구랑꽃게랑）,음식점,37.517,127.0402
일본어,北岳山（북악산）,자연관광지,37.593,126.974
일본어,スパレイ（스파레이）,휴양관광지,37.5198,127.022
일본어,シャルロッテシアター（샤롯데씨어터）,문화시설,37.5106,127.1021
일본어,奨忠体育館（장충체육관）,육상 레포츠,37.5592,127.0076
일본어,奉恩寺（ソウル）（봉은사（서울））,역사관광지,37.5145,127.058
일본어,ソウル東大門タッカンマリ通り（서울 동대문 닭한마리 골목）,체험관광지,37.5714,127.0118
일본어,新世界百貨店（本店）（신세계백화점（본점））,쇼핑,37.5606,126.9803
일본어,土俗村参鶏湯（토속촌 삼계탕）,음식점,37.5791,126.9706
일본어,戦争記念館（전쟁기념관）,문화시설,37.53716,126.97712
일본어,COEXアクアリウム（코엑스 아쿠아리움）,자연관광지,37.5118,127.0594
일본어,明洞ナンタ劇場（명동난타극장）,문화시설,37.5623,126.9855
일본어,忠武公 李舜臣銅像（충무공 이순신 동상）,건축/조형물,37.5712,126.9767
일본어,芸術の殿堂 ハンガラム美術館（예술의전당 한가람미술관）,문화시설,37.4787,127.0118
일본어,カポフットボールストア[韓国観光品質認証](카포 풋볼 스토어[한국관광품질인증/Korea Quality]),쇼핑,37.5678,127.0116
일본어,北岳スカイ 八角亭（북악스카이 팔각정）,휴양관광지,37.6094,126.9823
일본어,漢江市民公園トゥクソム地区（トゥクソム漢江公園）（한강시민공원 뚝섬지구（뚝섬한강공원））,휴양관광지,37.5293,127.0717
일본어,サムジキル（쌈지길）,체험관광지,37.5742,126.9848
일본어,ソウル 雲峴宮（서울 운현궁）,역사관광지,37.5768,126.9877
